ingredient_id,name_ko,name_en,product_row_count,product_count,current_effect_ids,current_risk_types,cosing_match_status,cosing_inci_name,cosing_functions,cosing_restrictions,cosing_sccs_opinion_count,effect_signal_ids,effect_signal_basis,role_effect_candidate,role_formulation,role_risk_review,role_general_other,role_unresolved,research_priority,classification_status,classification_note,source_url,source_fetched_on
linalool,리날룰,Linalool,16309,16306,,,exact_name,LINALOOL,DEODORANT|PERFUMING,III/84,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,14591,,,exact_name,SODIUM BENZOATE,ANTICORROSIVE|FRAGRANCE|PRESERVATIVE,V/1,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,14077,,,exact_name,POTASSIUM SORBATE,FRAGRANCE|PRESERVATIVE,V/4,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13951,13854,,,exact_name,"1,2-HEXANEDIOL",SKIN CONDITIONING|SOLVENT,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
xanthan_gum,잔탄검,Xanthan Gum,13794,13776,,,exact_name,XANTHAN GUM,BINDING|EMULSION STABILISING|GEL FORMING|SKIN CONDITIONING|SURFACTANT - CLEANSING|SURFACTANT - EMULSIFYING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
disodium_edta,다이소듐이디티에이,Disodium EDTA,13764,13729,,,exact_name,DISODIUM EDTA,CHELATING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13306,13298,,,exact_name,TOCOPHERYL ACETATE,ANTIOXIDANT|SKIN CONDITIONING,,1,,,N,N,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13191,13175,,,exact_name,CAPRYLIC/CAPRIC TRIGLYCERIDE,FRAGRANCE|PERFUMING|SKIN CONDITIONING - OCCLUSIVE|SOLVENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - OCCLUSIVE,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
propanediol,프로판다이올,Propanediol,12837,12794,,,exact_name,PROPANEDIOL,SOLVENT|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
panthenol,판테놀,Panthenol,12750,12750,effect_calming|effect_moisture_barrier,,exact_name,PANTHENOL,ANTISTATIC|HAIR CONDITIONING|SKIN CONDITIONING,,0,effect_calming|effect_moisture_barrier,effect_calming:current_runtime|effect_moisture_barrier:current_runtime,Y,Y,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
silica,실리카,Silica,12319,12318,,,exact_name,SILICA,ABRASIVE|ABSORBENT|ANTICAKING|BULKING|OPACIFYING|VISCOSITY CONTROLLING,,2,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_chloride,소듐클로라이드,Sodium Chloride,11576,11564,,,exact_name,SODIUM CHLORIDE,BULKING|FRAGRANCE|ORAL CARE|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,10880,10880,,,exact_name,SODIUM HYDROXIDE,BUFFERING|DENATURANT,III/15a,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
niacinamide,나이아신아마이드,Niacinamide,10393,10393,effect_acne_sebum|effect_brightening|effect_calming|effect_moisture_barrier|effect_wrinkle,,exact_name,NIACINAMIDE,SMOOTHING,,0,effect_acne_sebum|effect_brightening|effect_calming|effect_moisture_barrier|effect_wrinkle,effect_acne_sebum:current_runtime|effect_brightening:current_runtime|effect_calming:current_runtime|effect_moisture_barrier:current_runtime|effect_wrinkle:current_runtime,Y,N,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
water,정제수,Water,10346,10346,,,exact_name,WATER,ANTIPLAQUE|SKIN CONDITIONING|SOLVENT,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9523,9519,,,exact_name,PENTYLENE GLYCOL,SKIN CONDITIONING|SOLVENT,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
alcohol,에탄올,Alcohol,9165,9165,,,exact_name,ALCOHOL,ANTIFOAMING|ANTIMICROBIAL|ASTRINGENT|FRAGRANCE|SOLVENT|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,8428,8426,,,exact_name,DISTEARDIMONIUM HECTORITE,LIGHT STABILIZER|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
citronellol,시트로넬올,Citronellol,8271,8270,,,exact_name,CITRONELLOL,PERFUMING,III/86,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
mica,마이카,Mica,8186,8184,,,exact_name,MICA,ANTICAKING|BULKING|COLORANT|OPACIFYING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8012,8000,,,exact_name,CETEARYL ALCOHOL,EMULSION STABILISING|OPACIFYING|SKIN CONDITIONING - EMOLLIENT|SURFACTANT - CLEANSING|SURFACTANT - EMULSIFYING|SURFACTANT - FOAM BOOSTING|VISCOSITY CONTROLLING,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
carbomer,카보머,Carbomer,7997,7987,,,exact_name,CARBOMER,EMULSION STABILISING|GEL FORMING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
squalane,스쿠알란,Squalane,7887,7887,effect_moisture_barrier,,exact_name,SQUALANE,HAIR CONDITIONING|REFATTING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT|effect_moisture_barrier:current_runtime,Y,Y,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
geraniol,제라니올,Geraniol,7832,7831,,,exact_name,GERANIOL,PERFUMING|TONIC,III/78,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,7470,7465,,,exact_name,ALUMINUM HYDROXIDE,HUMECTANT|OPACIFYING|SKIN CONDITIONING - EMOLLIENT|SKIN PROTECTING|VISCOSITY CONTROLLING,,0,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,Y,Y,N,N,N,P1_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7124,7124,effect_calming|effect_moisture_barrier,,not_matched,,,,0,effect_calming|effect_moisture_barrier,effect_calming:current_runtime|effect_moisture_barrier:current_runtime,Y,N,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,,
helianthus_annuus_sunflower_seed_oil,해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,7100,7098,,,official_name_variant,HELIANTHUS ANNUUS SEED OIL,SKIN CONDITIONING - EMOLLIENT|SKIN CONDITIONING - MISCELLANEOUS|SKIN CONDITIONING - OCCLUSIVE|SOLVENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT+SKIN CONDITIONING - OCCLUSIVE,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
butyrospermum_parkii_shea_butter,시어버터,Butyrospermum Parkii (Shea) Butter,7034,7024,,,official_name_variant,BUTYROSPERMUM PARKII BUTTER,SKIN CONDITIONING|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,6975,6969,,,exact_name,TRIETHOXYCAPRYLYLSILANE,BINDING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6751,6706,,,exact_name,DIPROPYLENE GLYCOL,FRAGRANCE|PERFUMING|SOLVENT|VISCOSITY CONTROLLING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,6654,6651,,,exact_name,GLYCERYL STEARATE,SKIN CONDITIONING - EMOLLIENT|SURFACTANT - EMULSIFYING,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,6642,,,official_name_variant,PARFUM,FRAGRANCE|PERFUMING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6577,6561,,,exact_name,HYDROGENATED LECITHIN,SKIN CONDITIONING|SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
hexyl_cinnamal,헥실신남알,Hexyl Cinnamal,6364,6364,,,exact_name,HEXYL CINNAMAL,PERFUMING,III/87,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,6174,,,exact_name,PROPYLENE GLYCOL,FRAGRANCE|HUMECTANT|SKIN CONDITIONING - HUMECTANT|SKIN CONDITIONING - MISCELLANEOUS|SOLVENT|VISCOSITY CONTROLLING,,0,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT+SKIN CONDITIONING - HUMECTANT,Y,Y,N,N,N,P1_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
benzyl_alcohol,벤질알코올,Benzyl Alcohol,6169,6169,,,exact_name,BENZYL ALCOHOL,PERFUMING|PRESERVATIVE|SOLVENT|VISCOSITY CONTROLLING,"III/45 and
V/34",0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
pentaerythrityl_tetra_di_t_butyl_hydroxyhydrocinnamate,펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나 메이트,Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,6155,6151,,,exact_name,PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE,ANTIOXIDANT,,0,,,N,N,N,Y,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
hydroxyacetophenone,하이드록시아세토페논,Hydroxyacetophenone,6052,6028,,,exact_name,HYDROXYACETOPHENONE,ANTIOXIDANT,,0,,,N,N,N,Y,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
sodium_citrate,소듐시트레이트,Sodium Citrate,6021,6013,,,exact_name,SODIUM CITRATE,BUFFERING|CHELATING|FRAGRANCE,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
lecithin,레시틴,Lecithin,5973,5969,,,exact_name,LECITHIN,ANTISTATIC|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT|SURFACTANT - EMULSIFYING,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
allantoin,알란토인,Allantoin,5914,5914,effect_calming|effect_moisture_barrier,,exact_name,ALLANTOIN,SKIN CONDITIONING|SKIN PROTECTING|SOOTHING,,0,effect_calming|effect_moisture_barrier,effect_calming:high:SOOTHING|effect_moisture_barrier:medium:SKIN PROTECTING|effect_calming:current_runtime|effect_moisture_barrier:current_runtime,Y,N,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
adenosine,아데노신,Adenosine,5774,5774,effect_wrinkle,,exact_name,ADENOSINE,SKIN CONDITIONING,,0,effect_wrinkle,effect_wrinkle:current_runtime,Y,N,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
arginine,알지닌,Arginine,5526,5512,,,exact_name,ARGININE,ANTISTATIC|FRAGRANCE|HAIR CONDITIONING|SKIN CONDITIONING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
citral,시트랄,Citral,5445,5445,,,exact_name,CITRAL,FLAVOURING|FRAGRANCE|PERFUMING,III/70,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
aha,AHA,Alpha Hydroxy Acids,5290,5290,effect_exfoliation|effect_moisture_barrier|effect_wrinkle,exfoliant_caution,not_matched,,,,0,effect_exfoliation|effect_moisture_barrier|effect_wrinkle,effect_exfoliation:current_runtime|effect_moisture_barrier:current_runtime|effect_wrinkle:current_runtime,Y,N,Y,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,,
sorbitan_isostearate,솔비탄아이소스테아레이트,Sorbitan Isostearate,5251,5244,,,exact_name,SORBITAN ISOSTEARATE,SURFACTANT - EMULSIFYING,,0,,,N,Y,N,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
simmondsia_chinensis_jojoba_seed_oil,호호바씨오일,Simmondsia Chinensis (Jojoba) Seed Oil,5242,5237,,,official_name_variant,SIMMONDSIA CHINENSIS SEED OIL,HAIR CONDITIONING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
chlorphenesin,클로페네신,Chlorphenesin,5149,5149,,,exact_name,CHLORPHENESIN,ANTIMICROBIAL|PRESERVATIVE,V/50,0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
trimethylsiloxysilicate,트라이메틸실록시실리케이트,Trimethylsiloxysilicate,5078,5074,,,exact_name,TRIMETHYLSILOXYSILICATE,ANTIFOAMING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
