ingredient_rank,ingredient_id,source,source_role,searched_name,query,searched_at,cutoff_date,raw_count,retrieved_count,selected_count,pagination_complete,search_status,source_run_status,failure_reason,input_provenance,query_contract_status,rerun_required,review_status,runtime_score_change,manifest_version,manifest_sha256,ingredient_dictionary_sha256,outcome_dictionary_sha256,direction_dictionary_sha256,policy_version
3,butylene_glycol,riss,regional_bibliographic,Butylene Glycol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,riss fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,pubmed,bibliographic_primary,Tocopherol,"(""Tocopherol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:16Z,2026-07-13,1012,100,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,europe_pmc,bibliographic_primary,Tocopherol,"(TITLE_ABS:""Tocopherol"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"") AND NOT SRC:MED AND NOT SRC:PAT",2026-07-13T06:26:12+00:00,2026-07-13,49,49,not_applicable,true,success,success,,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,crossref,metadata_discovery,Tocopherol,"(""Tocopherol"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,449590,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,openalex,metadata_discovery,Tocopherol,"(""Tocopherol"") skin topical",2026-07-13T06:26:09+00:00,2026-07-13,8697,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,kci,regional_bibliographic,Tocopherol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,kci fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
4,tocopherol,riss,regional_bibliographic,Tocopherol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,riss fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,pubmed,bibliographic_primary,Ethylhexylglycerin,"(""Ethylhexylglycerin""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:17Z,2026-07-13,20,20,not_applicable,true,success,success,,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,europe_pmc,bibliographic_primary,Ethylhexylglycerin,"(TITLE_ABS:""Ethylhexylglycerin"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"") AND NOT SRC:MED AND NOT SRC:PAT",2026-07-13T06:26:10+00:00,2026-07-13,0,0,not_applicable,true,zero_results,success,,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,crossref,metadata_discovery,Ethylhexylglycerin,"(""Ethylhexylglycerin"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,439446,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,openalex,metadata_discovery,Ethylhexylglycerin,"(""Ethylhexylglycerin"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,216,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,kci,regional_bibliographic,Ethylhexylglycerin,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,kci fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
5,ethylhexylglycerin,riss,regional_bibliographic,Ethylhexylglycerin,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,riss fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,pubmed,bibliographic_primary,Citric Acid,"(""Citric Acid""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:18Z,2026-07-13,583,100,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,europe_pmc,bibliographic_primary,Citric Acid,"(TITLE_ABS:""Citric Acid"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"") AND NOT SRC:MED AND NOT SRC:PAT",2026-07-13T06:26:15+00:00,2026-07-13,48,48,not_applicable,true,success,success,,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,crossref,metadata_discovery,Citric Acid,"(""Citric Acid"") skin topical",2026-07-13T06:26:13+00:00,2026-07-13,1639129,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,openalex,metadata_discovery,Citric Acid,"(""Citric Acid"") skin topical",2026-07-13T06:26:12+00:00,2026-07-13,5680,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,kci,regional_bibliographic,Citric Acid,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,kci fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
6,citric_acid,riss,regional_bibliographic,Citric Acid,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,riss fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
7,caprylyl_glycol,pubmed,bibliographic_primary,Caprylyl Glycol,"(""Caprylyl Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:19Z,2026-07-13,16,16,not_applicable,true,success,success,,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
