ingredient_rank,ingredient_id,name_ko,name_en,product_count,source_count,sources,deduplicated_paper_count,max_passed_stage_count,first_failed_filter,first_failed_filter_ko,final_score_candidate,candidate_effect_ids,candidate_paper_keys,review_status,runtime_score_change
13,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,3,crossref|europe_pmc|pubmed,52,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
14,1_2_hexanediol,"1,2-헥산다이올","1,2-Hexanediol",13987,3,crossref|europe_pmc|pubmed,45,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
15,disodium_edta,다이소듐이디티에이,Disodium EDTA,13862,3,crossref|europe_pmc|pubmed,33,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
16,xanthan_gum,잔탄검,Xanthan Gum,13776,3,crossref|europe_pmc|pubmed,75,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
17,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,13298,3,crossref|europe_pmc|pubmed,72,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
18,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,3,crossref|europe_pmc|pubmed,46,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
19,propanediol,프로판다이올,Propanediol,12794,3,crossref|europe_pmc|pubmed,73,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
20,panthenol,판테놀,Panthenol,12738,3,crossref|europe_pmc|pubmed,68,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
21,silica,실리카,Silica,12318,3,crossref|europe_pmc|pubmed,93,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
22,sodium_chloride,소듐클로라이드,Sodium Chloride,11564,3,crossref|europe_pmc|pubmed,92,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
23,sodium_hydroxide,소듐하이드록사이드,Sodium Hydroxide,10880,3,crossref|europe_pmc|pubmed,87,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
24,niacinamide,나이아신아마이드,Niacinamide,10393,3,crossref|europe_pmc|pubmed,92,7,passed_all,전체 통과,Y,effect_brightening|effect_wrinkle,PMID:12100180|PMID:16029679,candidate_unverified,none
25,water,정제수,Water,10377,1,crossref,20,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
26,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,2,crossref|pubmed,36,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
27,alcohol,에탄올,Alcohol,9165,1,crossref,22,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
28,disteardimonium_hectorite,다이스테아다이모늄헥토라이트,Disteardimonium Hectorite,8426,2,crossref|pubmed,21,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
29,citronellol,시트로넬올,Citronellol,8409,3,crossref|europe_pmc|pubmed,76,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
30,mica,마이카,Mica,8184,3,crossref|europe_pmc|pubmed,72,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
31,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,2,crossref|pubmed,47,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
32,carbomer,카보머,Carbomer,7987,3,crossref|europe_pmc|pubmed,72,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
33,geraniol,제라니올,Geraniol,7955,3,crossref|europe_pmc|pubmed,92,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
34,squalane,스쿠알란,Squalane,7887,2,crossref|pubmed,61,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
35,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,7465,2,crossref|pubmed,70,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
37,cholesterol_fatty_acids,콜레스테롤/지방산,Cholesterol / Fatty Acids,7056,2,crossref|pubmed,68,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
39,triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,Triethoxycaprylylsilane,7011,2,crossref|pubmed,21,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
40,glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,6922,3,crossref|europe_pmc|pubmed,44,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
41,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,3,crossref|europe_pmc|pubmed,44,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
42,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,3,crossref|europe_pmc|pubmed,94,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
43,hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6561,2,crossref|pubmed,41,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
44,hexyl_cinnamal,헥실신남알,Hexyl Cinnamal,6489,3,crossref|europe_pmc|pubmed,33,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
46,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,3,crossref|europe_pmc|pubmed,83,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
47,benzyl_alcohol,벤질알코올,Benzyl Alcohol,6169,3,crossref|europe_pmc|pubmed,76,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
48,hydroxyacetophenone,하이드록시아세토페논,Hydroxyacetophenone,6028,2,crossref|pubmed,39,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
49,sodium_citrate,소듐시트레이트,Sodium Citrate,6013,3,crossref|europe_pmc|pubmed,67,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
50,lecithin,레시틴,Lecithin,5969,3,crossref|europe_pmc|pubmed,95,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
51,allantoin,알란토인,Allantoin,5914,3,crossref|europe_pmc|pubmed,74,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
52,adenosine,아데노신,Adenosine,5774,3,crossref|europe_pmc|pubmed,93,4,positive_result,긍정적인 결과,N,,,candidate_unverified,none
53,arginine,알지닌,Arginine,5512,3,crossref|europe_pmc|pubmed,78,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
54,citral,시트랄,Citral,5510,3,crossref|europe_pmc|pubmed,83,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
55,aha,AHA,Alpha Hydroxy Acids,5270,3,crossref|europe_pmc|pubmed,66,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
56,sorbitan_isostearate,솔비탄아이소스테아레이트,Sorbitan Isostearate,5244,2,crossref|pubmed,19,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
57,simmondsia_chinensis_jojoba_seed_oil,호호바씨오일,Simmondsia Chinensis (Jojoba) Seed Oil,5237,1,crossref,23,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
58,chlorphenesin,클로페네신,Chlorphenesin,5149,3,crossref|europe_pmc|pubmed,46,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
59,cetyl_alcohol,세틸알코올,Cetyl Alcohol,5107,3,crossref|europe_pmc|pubmed,67,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
60,trimethylsiloxysilicate,트라이메틸실록시실리케이트,Trimethylsiloxysilicate,5074,2,crossref|pubmed,23,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
61,benzyl_salicylate,벤질살리실레이트,Benzyl Salicylate,5017,3,crossref|europe_pmc|pubmed,52,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
62,isododecane,아이소도데케인,Isododecane,5008,2,crossref|pubmed,26,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
63,sodium_hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,4731,3,crossref|europe_pmc|pubmed,83,6,standalone_evidence_tier,동물·세포·일반 리뷰 단독 점수 금지,N,,,candidate_unverified,none
64,acrylates_c10_30_alkyl_acrylate_crosspolymer,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,Acrylates/C10-30 Alkyl Acrylate Crosspolymer,4609,1,crossref,23,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
65,synthetic_fluorphlogopite,합성플루오르플로고파이트,Synthetic Fluorphlogopite,4598,2,crossref|pubmed,23,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
66,polysorbate_20,폴리솔베이트20,Polysorbate 20,4507,3,crossref|europe_pmc|pubmed,53,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
67,propylene_carbonate,프로필렌카보네이트,Propylene Carbonate,4481,2,crossref|pubmed,38,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
68,tin_oxide,틴옥사이드,Tin Oxide,4311,3,crossref|europe_pmc|pubmed,74,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
69,maltodextrin,말토덱스트린,Maltodextrin,4238,3,crossref|europe_pmc|pubmed,92,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
70,cetyl_peg_ppg_10_1_dimethicone,세틸피이지/피피지-10/1다이메티콘,Cetyl PEG/PPG-10/1 Dimethicone,4225,2,crossref|pubmed,23,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
71,betaine,베타인,Betaine,4117,3,crossref|europe_pmc|pubmed,85,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
72,bht,비에이치티,BHT,4071,1,crossref,20,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
73,tromethamine,트로메타민,Tromethamine,4055,3,crossref|europe_pmc|pubmed,72,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
74,dimethicone_vinyl_dimethicone_crosspolymer,다이메티콘/비닐다이메티콘크로스폴리머,Dimethicone/Vinyl Dimethicone Crosspolymer,3998,1,crossref,21,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
75,trisodium_ethylenediamine_disuccinate,트라이소듐에틸렌다이아민다이석시네이트,Trisodium Ethylenediamine Disuccinate,3978,1,crossref,24,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
76,salicylic_acid_bha,살리실산/BHA,Salicylic Acid / BHA,3956,3,crossref|europe_pmc|pubmed,94,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
77,ethylhexyl_palmitate,에틸헥실팔미테이트,Ethylhexyl Palmitate,3952,2,crossref|pubmed,24,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
78,hydroxycitronellal,하이드록시시트로넬알,Hydroxycitronellal,3950,3,crossref|europe_pmc|pubmed,65,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
79,magnesium_sulfate,마그네슘설페이트,Magnesium Sulfate,3837,3,crossref|europe_pmc|pubmed,66,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
80,glyceryl_caprylate,글리세릴카프릴레이트,Glyceryl Caprylate,3834,2,crossref|pubmed,31,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
81,polysorbate_60,폴리솔베이트60,Polysorbate 60,3724,2,crossref|pubmed,31,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
82,hexylene_glycol,헥실렌글라이콜,Hexylene Glycol,3707,2,crossref|pubmed,26,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
83,coumarin,쿠마린,Coumarin,3628,3,crossref|europe_pmc|pubmed,81,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
84,octyldodecanol,옥틸도데칸올,Octyldodecanol,3622,3,crossref|europe_pmc|pubmed,37,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
85,caffeine,카페인,Caffeine,3594,3,crossref|europe_pmc|pubmed,96,6,standalone_evidence_tier,동물·세포·일반 리뷰 단독 점수 금지,N,,,candidate_unverified,none
86,alpha_isomethyl_ionone,알파-아이소메틸아이오논,Alpha-Isomethyl Ionone,3582,2,crossref|pubmed,28,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
87,titanium_dioxide,티타늄디옥사이드,Titanium Dioxide,3526,3,crossref|europe_pmc|pubmed,94,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
88,sodium_phytate,소듐파이테이트,Sodium Phytate,3487,3,crossref|europe_pmc|pubmed,29,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
89,benzyl_benzoate,벤질벤조에이트,Benzyl Benzoate,3475,3,crossref|europe_pmc|pubmed,56,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
90,hydroxyethylcellulose,하이드록시에틸셀룰로오스,Hydroxyethylcellulose,3444,3,crossref|europe_pmc|pubmed,67,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
91,peptides,펩타이드,Peptides,3343,3,crossref|europe_pmc|pubmed,97,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
92,green_tea,녹차,Green Tea,3296,3,crossref|europe_pmc|pubmed,96,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
93,ceramides,세라마이드,Ceramides,3270,3,crossref|europe_pmc|pubmed,97,6,standalone_evidence_tier,동물·세포·일반 리뷰 단독 점수 금지,N,,,candidate_unverified,none
94,phenyl_trimethicone,페닐트라이메티콘,Phenyl Trimethicone,3264,2,crossref|pubmed,24,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
95,polyhydroxystearic_acid,폴리하이드록시스테아릭애씨드,Polyhydroxystearic Acid,3251,1,crossref,25,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
96,peg_10_dimethicone,피이지-10다이메티콘,PEG-10 Dimethicone,3223,1,crossref,23,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
97,sodium_dehydroacetate,소듐데하이드로아세테이트,Sodium Dehydroacetate,3209,3,crossref|europe_pmc|pubmed,30,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
98,sodium_pca,소듐피씨에이,Sodium PCA,3194,2,crossref|pubmed,26,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
99,cyclopentasiloxane,사이클로펜타실록세인,Cyclopentasiloxane,3191,2,crossref|pubmed,29,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
100,cetrimonium_chloride,세트리모늄클로라이드,Cetrimonium Chloride,3176,2,crossref|pubmed,27,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
101,hydroxyethyl_acrylate_sodium_acryloyldimethyl_taurate_copolymer,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우 레이트코폴리머,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,3125,1,crossref,23,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
102,behentrimonium_chloride,베헨트라이모늄클로라이드,Behentrimonium Chloride,3094,2,crossref|pubmed,22,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
103,trehalose,트레할로오스,Trehalose,3069,3,crossref|europe_pmc|pubmed,86,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
104,benzoic_acid,벤조익애씨드,Benzoic Acid,3052,3,crossref|europe_pmc|pubmed,77,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
105,diisostearyl_malate,다이아이소스테아릴말레이트,Diisostearyl Malate,3046,2,crossref|pubmed,22,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
106,guar_hydroxypropyltrimonium_chloride,구아하이드록시프로필트라이모늄클로라이드,Guar Hydroxypropyltrimonium Chloride,2976,2,crossref|pubmed,26,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
107,rosmarinus_officinalis_rosemary_leaf_extract,로즈마리잎추출물,Rosmarinus Officinalis (Rosemary) Leaf Extract,2974,1,crossref,23,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
108,polymethylsilsesquioxane,폴리메틸실세스퀴옥세인,Polymethylsilsesquioxane,2948,1,crossref,20,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
109,cocos_nucifera_coconut_oil,코코넛야자오일,Cocos Nucifera (Coconut) Oil,2936,2,crossref|pubmed,24,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
110,isopropyl_alcohol,아이소프로필알코올,Isopropyl Alcohol,2897,3,crossref|europe_pmc|pubmed,69,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
111,ceramide_np,세라마이드엔피,Ceramide NP,2859,3,crossref|europe_pmc|pubmed,65,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
112,alumina,알루미나,Alumina,2856,3,crossref|europe_pmc|pubmed,82,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
113,olea_europaea_olive_fruit_oil,올리브오일,Olea Europaea (Olive) Fruit Oil,2737,1,crossref,24,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
114,coco_caprylate_caprate,코코-카프릴레이트/카프레이트,Coco-Caprylate/Caprate,2735,2,crossref|pubmed,27,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
115,peg_100_stearate,피이지-100스테아레이트,PEG-100 Stearate,2700,2,crossref|pubmed,24,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
116,glycine,글라이신,Glycine,2677,3,crossref|europe_pmc|pubmed,93,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
117,aloe_barbadensis_leaf_juice,알로에베라잎즙,Aloe Barbadensis Leaf Juice,2637,2,crossref|pubmed,26,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
118,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,2637,2,crossref|pubmed,30,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
119,cocamidopropyl_betaine,코카미도프로필베타인,Cocamidopropyl Betaine,2631,3,crossref|europe_pmc|pubmed,66,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
120,ascorbic_acid,비타민C,Ascorbic Acid,2627,3,crossref|europe_pmc|pubmed,97,6,standalone_evidence_tier,동물·세포·일반 리뷰 단독 점수 금지,N,,,candidate_unverified,none
121,tetrasodium_glutamate_diacetate,테트라소듐글루타메이트다이아세테이트,Tetrasodium Glutamate Diacetate,2616,2,crossref|pubmed,22,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
122,hydrogenated_polyisobutene,하이드로제네이티드폴리아이소부텐,Hydrogenated Polyisobutene,2614,2,crossref|pubmed,23,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
123,sorbitan_olivate,솔비탄올리베이트,Sorbitan Olivate,2612,2,crossref|pubmed,17,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
125,stearyl_alcohol,스테아릴알코올,Stearyl Alcohol,2607,2,crossref|pubmed,45,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
127,synthetic_wax,합성왁스,Synthetic Wax,2516,1,crossref,23,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
128,sodium_lactate,소듐락테이트,Sodium Lactate,2510,3,crossref|europe_pmc|pubmed,47,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
129,persea_gratissima_avocado_oil,아보카도오일,Persea Gratissima (Avocado) Oil,2502,1,crossref,25,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
130,methylpropanediol,메틸프로판다이올,Methylpropanediol,2495,2,crossref|pubmed,24,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
131,serine,세린,Serine,2484,3,crossref|europe_pmc|pubmed,95,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
132,dehydroacetic_acid,데하이드로아세틱애씨드,Dehydroacetic Acid,2418,3,crossref|europe_pmc|pubmed,31,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
133,lauroyl_lysine,라우로일라이신,Lauroyl Lysine,2380,1,crossref,22,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
134,ascorbyl_palmitate,아스코빌팔미테이트,Ascorbyl Palmitate,2347,3,crossref|europe_pmc|pubmed,59,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
135,behenyl_alcohol,베헤닐알코올,Behenyl Alcohol,2336,2,crossref|pubmed,26,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
136,centella_asiatica_extract,병풀추출물,Centella Asiatica Extract,2328,3,crossref|europe_pmc|pubmed,75,7,passed_all,전체 통과,Y,effect_moisture_barrier,DOI:10.58860/ijsh.v4i7.320,candidate_unverified,none
137,sorbic_acid,소르빅애씨드,Sorbic Acid,2318,3,crossref|europe_pmc|pubmed,64,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
138,decyl_glucoside,데실글루코사이드,Decyl Glucoside,2311,2,crossref|pubmed,50,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
139,argania_spinosa_kernel_oil,아르간커넬오일,Argania Spinosa Kernel Oil,2310,3,crossref|europe_pmc|pubmed,27,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
140,kaolin,카올린,Kaolin,2306,3,crossref|europe_pmc|pubmed,74,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
141,hydrolyzed_hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,2185,3,crossref|europe_pmc|pubmed,26,2,not_combination_product,복합제품이 아님,N,,,candidate_unverified,none
142,triethyl_citrate,트라이에틸시트레이트,Triethyl Citrate,2184,3,crossref|europe_pmc|pubmed,43,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
143,sorbitol,솔비톨,Sorbitol,2180,3,crossref|europe_pmc|pubmed,93,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
144,polyglyceryl_10_laurate,폴리글리세릴-10라우레이트,Polyglyceryl-10 Laurate,2178,2,crossref|pubmed,27,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
145,dimethicone_crosspolymer,다이메티콘크로스폴리머,Dimethicone Crosspolymer,2168,1,crossref,20,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
146,peg_40_hydrogenated_castor_oil,피이지-40하이드로제네이티드캐스터오일,PEG-40 Hydrogenated Castor Oil,2164,3,crossref|europe_pmc|pubmed,28,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
147,tetrasodium_edta,테트라소듐이디티에이,Tetrasodium EDTA,2163,2,crossref|pubmed,26,1,human_skin_topical,인체 피부 도포 연구,N,,,candidate_unverified,none
148,lactobacillus_ferment,락토바실러스발효물,Lactobacillus Ferment,2124,2,crossref|pubmed,27,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
149,caprylyl_methicone,카프릴릴메티콘,Caprylyl Methicone,2109,1,crossref,20,0,exact_single_ingredient,정확한 단일성분,N,,,candidate_unverified,none
150,bisabolol,비사보롤,Bisabolol,2108,3,crossref|europe_pmc|pubmed,77,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
