product_code,source_prefix,current_brand,product_name,suspected_brand,issue_type,recommended_action,confidence,note
cultbeauty_fcc43f23902185,cultbeauty,Medik8,Alpha-H Vitamin A Serum with 0.3% Retinol + 1% Bio-Retinoid 25ml,Alpha-H,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_8841a6c804801c,cultbeauty,Medik8,Alpha-H Vitamin C Serum with 10% Ethyl Ascorbic Acid 25ml,Alpha-H,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c34504a7465f1b,cultbeauty,PATRICK TA,Alpha-H Hyaluronic 8 Super Serum With Primalhyal Ultrafiller + Ectoin 25ml,Alpha-H,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_6d1459fe45ca48,cultbeauty,Paula's Choice,Alpha-H Vitamin E Serum with 1% Ceramide Complex 25ml,Alpha-H,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0e162fba63e89a,cultbeauty,The Ordinary,Alpha-H Vitamin B Serum with 5% Niacinimide 25ml,Alpha-H,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_111024596a4b0d,cultbeauty,Hourglass,Anastasia Beverly Hills Beauty Balm Serum Boosted Skin Tint 18g (Various Shades) 6,Anastasia Beverly Hills,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c8d67899d391e5,cultbeauty,PATRICK TA,Augustinus Bader The Eyebrow and Lash Enhancing Serum 8ml,Augustinus Bader,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_eb10f827fbc2c3,cultbeauty,Peter Thomas Roth,Augustinus Bader The Eye Patches Single Sachet,Augustinus Bader,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_a855111157c012,cultbeauty,HUDA BEAUTY,Aveda Heat Relief Thermal Protector and Conditioning Mist 100ml,Aveda,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_1861d61eeecc22,cultbeauty,Patchology,Aveda Nutriplenish Overnight Hydrating Serum 100ml,Aveda,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0a0c5e37d7c6d6,cultbeauty,The Ordinary,Avène Hyaluron Activ B3 Concentrated Plumping Serum for Ageing Skin 30ml,Avène,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f5d79aee208bc6,cultbeauty,HUDA BEAUTY,BYOMA Hydrating Milky Moisturiser 50ml,BYOMA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_cd8e53ce0b714d,cultbeauty,HUDA BEAUTY,BYREDO Cotton Blend Hand Lotion 450ml,BYREDO,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_7bc671d0565d53,cultbeauty,HUDA BEAUTY,Beauty Of Joseon Serums Ginseng Moist Sun Serum PA++++ SPF50+ 50ml,Beauty Of Joseon,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_23b684816f890f,cultbeauty,Medicube,Biodance Collagen Gel Toner Pads (60 Pads),Biodance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_920340fde2de8d,cultbeauty,PATRICK TA,Biodance Pore Perfecting Collagen Peptide Serum 30ml,Biodance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_324b7a0f6918b4,cultbeauty,PATRICK TA,Biodance Radiant Vita Niacinamide Serum 30ml,Biodance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f5f2a836643593,cultbeauty,PATRICK TA,Biodance Refreshing Sea Kelp Serum 30ml,Biodance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c48ed24d097326,cultbeauty,Westman Atelier,Biodance Hydro Cera-Nol Serum 30ml,Biodance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0f5ffd188eb817,cultbeauty,Medik8,Biossance Squalane + Growth Factor Firming Moisturizer 50ml,Biossance,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c4e27daef4dd32,cultbeauty,NIOD,Bouclème Protein Booster 30ml,Boucleme,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_e9eecd73680059,cultbeauty,Kiehl's Since 1851,By Terry Hyaluronic Global Face Cream 50ml,By Terry,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_5e9b2f15cc0eba,cultbeauty,PATRICK TA,By Terry Cellularose CC Serum 30ml (Various Shades) 2 - Nude Glow,By Terry,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_43147d47f61825,cultbeauty,PATRICK TA,By Terry Hyaluronic Glow Setting Mist,By Terry,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_cb497c82bbed3d,cultbeauty,PATRICK TA,By Terry Hyaluronic Glow Setting Mist Travel-Size,By Terry,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_155aa5c3807c39,cultbeauty,Tan-Luxe,COOLA Sunless Tan Dry Oil Mist 100ml,COOLA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_9c36a9122521cd,cultbeauty,Tan-Luxe,COOLA Sunless Tan Face Serum 40ml,COOLA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_5bfbb8e404683c,cultbeauty,Paula's Choice,COSRX The 6 Peptide Skin Booster Serum 150ml,COSRX,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f77884baea5a7b,cultbeauty,Paula's Choice,COSRX The Niacinamide 15 Serum 20ml,COSRX,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_51f3b128f6f5fc,cultbeauty,HUDA BEAUTY,Caudalie After-Sun Repairing Lotion 400ml,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_dbcc792bf4ff6e,cultbeauty,La Roche-Posay,Caudalie Very High Protection Cream SPF50+ 50ml,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c7a1fe85ede287,cultbeauty,Medik8,Caudalie Resveratrol-Lift Firming Night Cream 50ml,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_27d2bbe4658085,cultbeauty,NUXE,Caudalie After-Sun Repairing Lotion 200ml,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_4a85e23866565f,cultbeauty,Paula's Choice,Caudalie Resveratrol Serum Refill 30ml - Pack of 2,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f209d8e753b037,cultbeauty,Summer Fridays,Caudalie VinoHydra Deep Hydration Moisturiser 50ml,Caudalie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_7d17517d789654,cultbeauty,La Roche-Posay,CeraVe Eye Repair Cream for Dark Circles & Puffiness 14 ml,CeraVe,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_cadf736f6356cb,cultbeauty,Medik8,CeraVe Skin Renewing 10% Pure Vitamin C Serum with Ceramides for Brighter & Smoother Skin 30ml,CeraVe,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_1d55a0e3c43290,cultbeauty,The Ordinary,CeraVe AM Facial Moisturising Lotion SPF30 with Ceramides for Normal to Dry Skin 52ml,CeraVe,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_54fed6661912d8,cultbeauty,The Ordinary,"CeraVe SA Smoothing Cream with Salicylic Acid for Dry, Rough & Bumpy Skin 340g",CeraVe,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_be742255f6d226,cultbeauty,Glow Recipe,Charlotte Tilbury Glow Toner (Various Sizes),Charlotte Tilbury,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_d42aceab5b9afb,cultbeauty,Hourglass,Charlotte Tilbury Charlotte's Magic Night Cream Refill,Charlotte Tilbury,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_31a6643d03a11b,cultbeauty,PATRICK TA,Charlotte Tilbury Charlotte's Magic Water Cream 50ml,Charlotte Tilbury,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_b741113cc57b64,cultbeauty,The Ordinary,Charlotte Tilbury Collagen Superfusion Facial Oil (Various Sizes),Charlotte Tilbury,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_e5047a0854043c,cultbeauty,benefit,Charlotte Tilbury Charlotte's Magic Water Cream Refill 50ml,Charlotte Tilbury,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_de32a59cb7e74f,cultbeauty,HUDA BEAUTY,Clé de Peau Beauté Advanced Intensive Night Cream - Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_a926d54c35b551,cultbeauty,Medik8,Clé de Peau Beauté Advanced Intensive Night Cream 50ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_e6a0e08af75f15,cultbeauty,NARS,Clé de Peau Beauté Brightening Serum Supreme 40ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_7910bb93ac92ac,cultbeauty,PATRICK TA,Clé de Peau Beauté Advanced Protective Cream - 50ml Refill,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_9aa5511913e030,cultbeauty,PATRICK TA,Clé de Peau Beauté Protective Day Emulsion 125ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_35898c119e17de,cultbeauty,Paula's Choice,Clé de Peau Beauté Hydro-Clarifying Essence Lotion 170ml,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_6bd0337ff78bbf,cultbeauty,Paula's Choice,Clé de Peau Beauté Hydro-Softening Essence Lotion,Clé de Peau Beauté,brand_mismatch,fix_brand,0.95,product_name starts with a different known brand token
cultbeauty_914d5b3d725ff6,cultbeauty,Paula's Choice,Dermalogica Acne Biotic Moisturiser 50ml,Dermalogica,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_4ca6bf2b770c69,cultbeauty,Westman Atelier,Dermalogica Pro Collagen Banking Water Cream 50ml,Dermalogica,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_378c03a0c7dfa1,cultbeauty,Beauty of Joseon,Dr. Althea 147 Barrier Cream 50ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_9ddffec2a99544,cultbeauty,Beauty of Joseon,Dr. Althea 345 Relief Cream 50ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_5db2a0ebb4914c,cultbeauty,Beauty of Joseon,Dr. Althea 345 Relief Cream Mist 100ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_724220fca4c0dd,cultbeauty,Beauty of Joseon,"Dr. Althea Reju 5000 Cream 20g (PDRN 5,000ppm)",Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_703c06ab05979a,cultbeauty,PATRICK TA,Dr. Althea Rapid Firm Sculpting Cream 45ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_1cc383a4d671bc,cultbeauty,The Ordinary,Dr. Althea Gentle Vitamin C Serum 30ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_08c1cc9063708b,cultbeauty,innisfree,Dr. Althea Vitamin C Boosting Serum 30ml,Dr. Althea,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_15dddcce2c3551,cultbeauty,Anastasia Beverly Hills,Dr. Barbara Sturm Brightening Face Cream,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_edeb4a7a3a25d7,cultbeauty,COSRX,Dr. Barbara Sturm Brightening Serum,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_cd8cc9d9c56f74,cultbeauty,HUDA BEAUTY,Dr. Barbara Sturm Darker Skin Tones Face Cream 50ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_c9ebb1f36d0f37,cultbeauty,HUDA BEAUTY,Dr. Barbara Sturm Mini The Peptide Serum 10ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fe1359a1267b79,cultbeauty,Kate Somerville,Dr. Barbara Sturm Ceramide Drops Face Oil 30ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_bc928f45240dd8,cultbeauty,Medik8,Dr. Barbara Sturm Clarifying Face Cream 50ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f4d9c881d69fbe,cultbeauty,Medik8,Dr. Barbara Sturm Face Cream Rich 50ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f31c5281eab3a9,cultbeauty,Medik8,Dr. Barbara Sturm Super Anti-Aging Face Cream 50ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_ed61983d7f7462,cultbeauty,Paula's Choice,Dr. Barbara Sturm The Good C Vitamin C Serum 30ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_103a0c03a7572d,cultbeauty,Sunday Riley,Dr. Barbara Sturm Hydrating Face Mist 50ml,Dr. Barbara Sturm,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_55bf5eea3450d9,cultbeauty,Hourglass,Dr.Jart+ Ceramidin Ectoin-Infused Cream 50ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_05b6a988add1e7,cultbeauty,LANEIGE,Dr.Jart+ Ceramidin Skin Barrier Serum Toner 150ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_8f434cd4cc1b5c,cultbeauty,La Roche-Posay,Dr.Jart+ Ceramidin Cream 50ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_05e1ac1380b6fb,cultbeauty,La Roche-Posay,Dr.Jart+ Cicapair Intensive Soothing Tiger Grass Repair Cream 50ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_bdf25605158322,cultbeauty,Medik8,Dr. Jart+ Prejuvenation Firming Bakuchiol Serum 50ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_ac658d17cb212a,cultbeauty,Summer Fridays,Dr.Jart+ Ceramidin Cream 15ml,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0b5ca695f3ada8,cultbeauty,The Ordinary,Dr. Jart+ Brightamin Brightening Serum Ampoule,Dr. Jart+,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_75ab26f0036563,cultbeauty,Sisley Paris,Dr. LEVY Switzerland Eye Booster Concentrate 7ml,Dr. LEVY Switzerland,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fe5af0482c81bd,cultbeauty,HUDA BEAUTY,Dr. Loretta Anti-Aging Repair Moisturiser 50ml,Dr. Loretta,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_bf89d3a11e7426,cultbeauty,Kiehl's Since 1851,Dr. Loretta Barrier Repair Gel Cream 50ml,Dr. Loretta,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_7986213c193cc7,cultbeauty,Kiehl's Since 1851,Drunk Elephant C-Tango Multivitamin Cream 15ml,Drunk Elephant,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_90e6d6d45aca61,cultbeauty,Medik8,Drunk Elephant C-Luma Hydrabright Serum 30ml,Drunk Elephant,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_4af5d93b4d023d,cultbeauty,Paula's Choice,Drunk Elephant T.L.C. Framboos Glycolic Night Serum (Various Sizes),Drunk Elephant,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_4ef3c60bfb9526,cultbeauty,Biossance,ELEMIS Superfood Facial Oil 15ml,ELEMIS,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_3e3886ad582d61,cultbeauty,HUDA BEAUTY,Elemis Pro-Collagen Skin Protection Fluid SPF50 15ml,ELEMIS,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_6d545c4b5c5c1e,cultbeauty,Charlotte Tilbury,ESPA Overnight Hydration Therapy Cream 55ml,ESPA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fad9dc43be5400,cultbeauty,HUDA BEAUTY,ESPA Limited Edition Neroli & Mandarin Hand Lotion 250ml,ESPA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_291740d12625d0,cultbeauty,HUDA BEAUTY,ESPA Restful Pillow Mist 100ml,ESPA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_16bbd7f05033ba,cultbeauty,Paula's Choice,ESPA Optimal Skin Pro-Moisturiser 55ml,ESPA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f76e7c22270344,cultbeauty,The Ordinary,ESPA Tri-Active Regenerating Bio-Retinol Sleeping Serum 30ml,ESPA,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_de12a4ae174ce7,cultbeauty,Avène,Elizabeth Arden Eight Hour Miracle Hydrating Mist 100ml,Elizabeth Arden,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_21d0fcb0c78c44,cultbeauty,Pai,Emma Hardie Brilliance Facial Oil 30ml,Emma Hardie,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_d65c6b7e9d98b5,cultbeauty,Anua,Erborian Glow Moisturiser 50ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_78828278fda2cb,cultbeauty,PATRICK TA,Erborian Ginseng Micro Shot Advanced 0.3% Serum 10ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_acca2cda216c4a,cultbeauty,PATRICK TA,Erborian Ginseng Micro Shot Advanced 0.3% Serum 30ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_5c172f36193420,cultbeauty,PATRICK TA,Erborian Matte Moisturiser 50ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_48f890fcd6516d,cultbeauty,PATRICK TA,Erborian Water Serum 30ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_6bd332240586dc,cultbeauty,Paula's Choice,Erborian Matte Moisturiser 20ml,Erborian,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_12cb44ac40ae6e,cultbeauty,Kosas,Farmacy Honey Cloud Moisturizer 50ml,FARMACY,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fc144771341509,cultbeauty,Paula's Choice,Farmacy Filling Good Hyaluronic Acid Plumping Serum 30ml,FARMACY,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_38c56ef3eef729,cultbeauty,The Ordinary,Farmacy Honey Grail Ultra-Hydrating Face Oil 30ml,FARMACY,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fabbdeb12e98a6,cultbeauty,Medik8,FOREO SUPERCHARGED Triple-Action Firming Serum 30ml,FOREO,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_8f992a39892a5e,cultbeauty,NuFACE,FOREO SUPERCHARGED SERUM SERUM SERUM 2.0 30ml,FOREO,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0227c86bb40873,cultbeauty,HUDA BEAUTY,Fig.1 Beauty Hydrating & Balancing Toner 30ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_b635f690501115,cultbeauty,NIOD,Fig.1 Beauty Retinol Night Cream No. 1 50ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_ab780a5801ec3f,cultbeauty,PATRICK TA,Fig.1 Beauty Retinol Night Cream No. 3 50ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_f5ae8d80a12a40,cultbeauty,Paula's Choice,Fig.1 Beauty Even Tone Serum 30ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_1cb32458310539,cultbeauty,Paula's Choice,Fig.1 Beauty Retinol Night Cream No. 2 50ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_8c48dc0f6365ec,cultbeauty,Saie,Fig.1 Beauty Ceramide Moisturizer 50ml,Fig.1,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0a8828a2620eb9,cultbeauty,Medik8,Fresh Lotus Youth Preserve Dream Face Cream 50ml,Fresh,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_fa5f6a77fc1c95,cultbeauty,The Ordinary,Fur Ingrown Eliminator Serum 32ml,Fur,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_63bb8deeb48a73,cultbeauty,Aesop,GUERLAIN Orchidée Impériale The Essence-In-Lotion 125ml,GUERLAIN,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_0a41a8cf833404,cultbeauty,HUDA BEAUTY,GUERLAIN Terracotta Joli Teint Protecting Tinted Moisturizer (Various Shades) Golden,GUERLAIN,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_95df4d0d3a8323,cultbeauty,Sisley Paris,GUERLAIN Orchidée Impériale Brightening The Radiance Concentrate 30ml,GUERLAIN,brand_mismatch,fix_brand,0.82,foreign-source product_name clearly starts with a catalog brand token
