cohort,ingredient_id,name_ko,name_en,product_count,paper_key,pmid,doi,title,evidence_tier,relation_scope,applicability,claim_category,effect_id,new_effect_candidate,direction,evidence_span,recommended_score_use,review_status,runtime_score_change
representative_180,limonene,리모넨,Limonene,16657,PMID:31433385,31433385,10.1097/der.0000000000000465,Limonene Hydroperoxides.,8,title_exact,reference_only,safety_signal_review,,,unclear,Limonene Hydroperoxides.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,limonene,리모넨,Limonene,16657,PMID:42020135,42020135,10.1111/cod.70157,Absorption and Effects of Patch Test Preparations of Hydroperoxides of Limonene and Hydroperoxides of Linalool in Human Ex Vivo Skin.,5,title_exact,mechanistic,safety_signal_review,,,unclear,Absorption and Effects of Patch Test Preparations of Hydroperoxides of Limonene and Hydroperoxides of Linalool in Human Ex Vivo Skin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,PMID:30098535,30098535,10.1016/j.colsurfb.2018.08.001,Linalool bioactive properties and potential applicability in drug delivery systems.,8,title_exact,reference_only,safety_signal_review,,,unclear,Linalool bioactive properties and potential applicability in drug delivery systems.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,PMID:31313746,31313746,10.1097/der.0000000000000471,Linalool Hydroperoxides.,8,title_exact,reference_only,safety_signal_review,,,unclear,Linalool Hydroperoxides.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,PMID:36890088,36890088,10.1016/j.annder.2023.01.004,Contact dermatitis to linalool and limonene: Unusual sources of exposure.,8,title_exact,reference_only,safety_signal_review,,,unclear,Contact dermatitis to linalool and limonene: Unusual sources of exposure.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,PMID:41713461,41713461,10.1111/cod.70119,Repeated Exposure to Hydroperoxides of Linalool Induces Immunologically Verified Allergic Contact Dermatitis.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Repeated Exposure to Hydroperoxides of Linalool Induces Immunologically Verified Allergic Contact Dermatitis.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,linalool,리날룰,Linalool,16306,PMID:42020135,42020135,10.1111/cod.70157,Absorption and Effects of Patch Test Preparations of Hydroperoxides of Limonene and Hydroperoxides of Linalool in Human Ex Vivo Skin.,5,title_exact,mechanistic,safety_signal_review,,,unclear,Absorption and Effects of Patch Test Preparations of Hydroperoxides of Limonene and Hydroperoxides of Linalool in Human Ex Vivo Skin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,PMID:16867007,16867007,10.1111/j.1440-0960.2006.00276.x,Allergic contact dermatitis to sodium benzoate chloroacetamide in a sorbolene lotion.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Allergic contact dermatitis to sodium benzoate chloroacetamide in a sorbolene lotion.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,PMID:16128766,16128766,10.1111/j.0105-1873.2005.0407i.x,Occupational contact dermatitis from potassium sorbate in milk transformation plant.,8,title_exact,reference_only,safety_signal_review,,,unclear,Occupational contact dermatitis from potassium sorbate in milk transformation plant.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,potassium_sorbate,포타슘솔베이트,Potassium Sorbate,14077,PMID:33656744,33656744,10.1111/cod.13829,Allergic contact dermatitis from potassium sorbate and sorbic acid in topical pharmaceuticals and medical devices.,4,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Allergic contact dermatitis from potassium sorbate and sorbic acid in topical pharmaceuticals and medical devices.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,PMID:32542693,32542693,10.1111/cod.13641,Allergic contact dermatitis caused by caprylic/capric triglyceride from an anti-aging cosmetic cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis caused by caprylic/capric triglyceride from an anti-aging cosmetic cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,13261,PMID:34862627,34862627,10.1111/cod.14019,Facial allergic contact dermatitis caused by caprylic/capric triglyceride in a cosmetic cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Facial allergic contact dermatitis caused by caprylic/capric triglyceride in a cosmetic cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,propanediol,프로판다이올,Propanediol,12794,PMID:29761730,29761730,10.1177/1091581817738242,"Safety Assessment of Tromethamine, Aminomethyl Propanediol, and Aminoethyl Propanediol as Used in Cosmetics.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Safety Assessment of Tromethamine, Aminomethyl Propanediol, and Aminoethyl Propanediol as Used in Cosmetics.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:35318981,35318981,10.1097/der.0000000000000883,"Allergic Contact Dermatitis to Panthenol in ""Hypoallergenic"" Products.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Allergic Contact Dermatitis to Panthenol in ""Hypoallergenic"" Products.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:36177798,36177798,10.1177/10915818221124809,"Safety Assessment of Panthenol, Pantothenic Acid, and Derivatives as Used in Cosmetics.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Safety Assessment of Panthenol, Pantothenic Acid, and Derivatives as Used in Cosmetics.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:36705646,36705646,10.1089/derm.0000000000000883,"Allergic Contact Dermatitis to Panthenol in ""Hypoallergenic"" Products.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Allergic Contact Dermatitis to Panthenol in ""Hypoallergenic"" Products.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:38186043,38186043,10.1111/srt.13540,"Efficacy and safety of a cream containing panthenol, prebiotics, and probiotic lysate for improving sensitive skin symptoms.",4,title_exact,combination_or_formulation,safety_signal_review,,,unclear,"Efficacy and safety of a cream containing panthenol, prebiotics, and probiotic lysate for improving sensitive skin symptoms.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:39129125,39129125,10.1111/cod.14666,Allergic contact dermatitis and delayed wound healing from panthenol.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis and delayed wound healing from panthenol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:39714944,39714944,10.1089/derm.2024.0489,"Panthenol Allergic Contact Dermatitis: Sources of Exposure, Reported Cases, and a Call for More Frequent Testing.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Panthenol Allergic Contact Dermatitis: Sources of Exposure, Reported Cases, and a Call for More Frequent Testing.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,panthenol,판테놀,Panthenol,12738,PMID:40682399,40682399,10.1111/jocd.70324,"The Effectiveness and Safety of a Skin Care Product With Centella asiatica Leaf Extract, Ceramide NP, and Panthenol in Subjects With Sensitive Skin: A Prospective, Observational Study.",3,title_exact,combination_or_formulation,safety_signal_review,,,unclear,"The Effectiveness and Safety of a Skin Care Product With Centella asiatica Leaf Extract, Ceramide NP, and Panthenol in Subjects With Sensitive Skin: A Prospective, Observational Study.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:12100180,12100180,10.1046/j.1365-2133.2002.04834.x,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer.,2,title_exact,human_topical,benefit_score_candidate,effect_brightening,,positive,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer.,benefit_score_only_after_full_text_approval,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:12100180,12100180,10.1046/j.1365-2133.2002.04834.x,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer.,2,title_exact,human_topical,benefit_score_candidate,effect_brightening,,positive,"However, niacinamide gave 35-68% inhibition of melanosome transfer in the coculture model and reduced cutaneous pigmentation in the PREP model.",benefit_score_only_after_full_text_approval,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:12100180,12100180,10.1046/j.1365-2133.2002.04834.x,The effect of niacinamide on reducing cutaneous pigmentation and suppression of melanosome transfer.,2,title_exact,human_topical,benefit_score_candidate,effect_brightening,,positive,"In the clinical studies, niacinamide significantly decreased hyperpigmentation and increased skin lightness compared with vehicle alone after 4 weeks of use.",benefit_score_only_after_full_text_approval,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:16029679,16029679,10.1111/j.1524-4725.2005.31732,Niacinamide: A B vitamin that improves aging facial skin appearance.,2,title_exact,human_topical,benefit_score_candidate,effect_wrinkle,,positive,"CONCLUSION: In addition to previously observed benefits for topical niacinamide, additional effects were identified (improved appearance of skin wrinkles and yellowing and improved elasticity).",benefit_score_only_after_full_text_approval,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:16596767,16596767,10.1080/10915810500434183,Final report of the safety assessment of niacinamide and niacin.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Final report of the safety assessment of niacinamide and niacin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,niacinamide,나이아신아마이드,Niacinamide,10393,PMID:26488693,26488693,10.1056/nejmoa1506197,A Phase 3 Randomized Trial of Nicotinamide for Skin-Cancer Chemoprevention.,8,title_exact,reference_only,safety_signal_review,,,unclear,A Phase 3 Randomized Trial of Nicotinamide for Skin-Cancer Chemoprevention.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:12755747,12755747,10.1034/j.1600-0536.2003.00073.x,"Allergic contact dermatitis from pentylene glycol in an emollient cream, with possible co-sensitization to resveratrol.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Allergic contact dermatitis from pentylene glycol in an emollient cream, with possible co-sensitization to resveratrol.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:18186759,18186759,10.1111/j.1600-0536.2007.01201.x,Allergic contact dermatitis to pentylene glycol in a cosmetic cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis to pentylene glycol in a cosmetic cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:18559782,18559782,10.1001/archderm.144.6.810,Contact dermatitis to pentylene glycol in a prescription cream for atopic dermatitis: case report.,8,title_exact,reference_only,safety_signal_review,,,unclear,Contact dermatitis to pentylene glycol in a prescription cream for atopic dermatitis: case report.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:19780779,19780779,10.1111/j.1600-0536.2009.01586.x,Allergic contact dermatitis to ethylhexylglycerin and pentylene glycol.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis to ethylhexylglycerin and pentylene glycol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:20546226,20546226,10.1111/j.1440-0960.2009.00618.x,Allergic contact dermatitis to propyl gallate and pentylene glycol in an emollient cream.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Allergic contact dermatitis to propyl gallate and pentylene glycol in an emollient cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:28483712,28483712,10.1016/j.yrtph.2017.05.007,Margin of safety of pentylene glycol derived using measurements of cutaneous absorption and volatility.,8,title_exact,reference_only,safety_signal_review,,,unclear,Margin of safety of pentylene glycol derived using measurements of cutaneous absorption and volatility.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:31840261,31840261,10.1111/cod.13454,Allergic contact dermatitis to pentylene glycol in an eye contour cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis to pentylene glycol in an eye contour cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:34455582,34455582,10.1111/cod.13963,Pentylene glycol: An emerging cosmetic allergen?,8,title_exact,reference_only,safety_signal_review,,,unclear,Pentylene glycol: An emerging cosmetic allergen?,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,pentylene_glycol,펜틸렌글라이콜,Pentylene Glycol,9887,PMID:36125394,36125394,10.1111/cod.14224,Allergic contact dermatitis from pentylene glycol in 'hypoallergenic' eye cosmetics.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from pentylene glycol in 'hypoallergenic' eye cosmetics.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,citronellol,시트로넬올,Citronellol,8409,PMID:20137738,20137738,,In vitro human skin penetration of geraniol and citronellol.,7,title_exact,mechanistic,safety_signal_review,,,unclear,In vitro human skin penetration of geraniol and citronellol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,citronellol,시트로넬올,Citronellol,8409,PMID:35671905,35671905,10.1016/j.fct.2022.113201,Autoxidized citronellol: Free radicals as potential sparkles to ignite the fragrance induced skin sensitizing pathway.,5,title_exact,mechanistic,safety_signal_review,,,unclear,Autoxidized citronellol: Free radicals as potential sparkles to ignite the fragrance induced skin sensitizing pathway.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,PMID:10985638,10985638,,Allergic contact dermatitis from cetrimide and cetearyl alcohol in Burnol-plus cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from cetrimide and cetearyl alcohol in Burnol-plus cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,cetearyl_alcohol,세테아릴알코올,Cetearyl Alcohol,8000,PMID:27617733,27617733,,Allergic contact dermatitis from cetearyl alcohol in Thrombocid® ointment.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from cetearyl alcohol in Thrombocid® ointment.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,geraniol,제라니올,Geraniol,7955,PMID:20137738,20137738,,In vitro human skin penetration of geraniol and citronellol.,7,title_exact,mechanistic,safety_signal_review,,,unclear,In vitro human skin penetration of geraniol and citronellol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,geraniol,제라니올,Geraniol,7955,PMID:23510343,23510343,10.1111/cod.12033,Finding the optimal patch test material and test concentration to detect contact allergy to geraniol.,8,title_exact,reference_only,safety_signal_review,,,unclear,Finding the optimal patch test material and test concentration to detect contact allergy to geraniol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,geraniol,제라니올,Geraniol,7955,PMID:31566752,31566752,10.1111/cod.13404,"Contact allergy to citral and its constituents geranial and neral, coupled with reactions to the prehapten and prohapten geraniol.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Contact allergy to citral and its constituents geranial and neral, coupled with reactions to the prehapten and prohapten geraniol.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,squalane,스쿠알란,Squalane,7887,PMID:19371265,19371265,10.1111/j.1742-7843.2009.00396.x,"Biological safety of LipoFullerene composed of squalane and fullerene-C60 upon mutagenesis, photocytotoxicity, and permeability into the human skin tissue.",7,title_exact,combination_or_formulation,safety_signal_review,,,unclear,"Biological safety of LipoFullerene composed of squalane and fullerene-C60 upon mutagenesis, photocytotoxicity, and permeability into the human skin tissue.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,squalane,스쿠알란,Squalane,7887,PMID:37752766,37752766,10.1177/10915818231204276,Squalane and Squalene.,8,title_exact,reference_only,safety_signal_review,,,unclear,Squalane and Squalene.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,squalane,스쿠알란,Squalane,7887,PMID:41427219,41427219,10.1021/acsomega.5c08561,Effect of Squalane as a Carrier in O/W Nanoemulsions for Dermal Delivery of Vitamin E.,6,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Effect of Squalane as a Carrier in O/W Nanoemulsions for Dermal Delivery of Vitamin E.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,PMID:9686981,9686981,10.1111/j.1600-0536.1998.tb05814.x,Occupational allergic contact dermatitis from UV-cured lacquer containing dipropylene glycol diacrylate.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Occupational allergic contact dermatitis from UV-cured lacquer containing dipropylene glycol diacrylate.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,dipropylene_glycol,다이프로필렌글라이콜,Dipropylene Glycol,6761,PMID:35320588,35320588,10.1111/cod.14114,Allergic contact dermatitis from dipropylene glycol in hydrocortisone lotion.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from dipropylene glycol in hydrocortisone lotion.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,PMID:3884673,3884673,10.1016/s0190-9622(85)70001-1,Perfume dermatitis.,8,title_exact,reference_only,safety_signal_review,,,unclear,Perfume dermatitis.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,PMID:32445606,32445606,10.1111/jocd.13507,Review on perfume and present status of its associated allergens.,8,title_exact,reference_only,safety_signal_review,,,unclear,Review on perfume and present status of its associated allergens.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,fragrance_perfume_parfum,향료,Fragrance|Perfume|Parfum,6642,PMID:35014095,35014095,10.1111/pde.14918,Bullous impetigo-like irritant contact dermatitis caused by perfume.,8,title_exact,reference_only,safety_signal_review,,,unclear,Bullous impetigo-like irritant contact dermatitis caused by perfume.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,hydrogenated_lecithin,하이드로제네이티드레시틴,Hydrogenated Lecithin,6561,PMID:11358109,11358109,10.1080/109158101750300937,Final report on the safety assessment of Lecithin and Hydrogenated Lecithin.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Final report on the safety assessment of Lecithin and Hydrogenated Lecithin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,hexyl_cinnamal,헥실신남알,Hexyl Cinnamal,6489,PMID:24988491,24988491,10.3109/15569527.2014.933973,Hexyl cinnamal: consideration of skin-sensitizing properties and suitability as a positive control.,8,title_exact,reference_only,safety_signal_review,,,unclear,Hexyl cinnamal: consideration of skin-sensitizing properties and suitability as a positive control.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,PMID:7094572,7094572,10.1111/j.1600-0536.1982.tb04180.x,Propylene glycol: irritation or sensitization?,4,title_exact,human_topical,risk_penalty_candidate,,,negative,Propylene glycol: irritation or sensitization?,risk_only_after_full_text_approval,candidate_unverified,none
representative_180,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,PMID:37100088,37100088,10.1111/cod.14325,Allergic contact dermatitis from propylene glycol: A case series from Australia.,4,title_exact,human_topical,risk_penalty_candidate,,,negative,Allergic contact dermatitis from propylene glycol: A case series from Australia.,risk_only_after_full_text_approval,candidate_unverified,none
representative_180,propylene_glycol,프로필렌글라이콜,Propylene Glycol,6174,PMID:42380076,42380076,10.1111/cod.70211,Contact Allergy and Allergic Contact Dermatitis From Propylene Glycol and Related Glycols: Cosmetic Skin Sensitisers After All?,4,title_exact,human_topical,risk_penalty_candidate,,,negative,Contact Allergy and Allergic Contact Dermatitis From Propylene Glycol and Related Glycols: Cosmetic Skin Sensitisers After All?,risk_only_after_full_text_approval,candidate_unverified,none
